Question,Classification,Finding,Evidence
Which characteristics are associated with claim frequency?,Robust,"Bonus-Malus and vehicle age ranked first and second across GLM, permutation, and SHAP frequency explanations; driver age was also consistently important.","Permutation top five: BonusMalus, VehAge, VehBrand, VehPower, DrivAge."
Which characteristics are associated with claim severity?,Suggestive,"Severity signals were weaker and less consistent; region, Bonus-Malus, driver age, and vehicle power appeared important under different explanation methods.","SHAP top five: DrivAge, Region, VehPower, VehBrand, BonusMalus."
How different are the drivers of frequency and severity?,Suggestive,"Frequency is dominated by Bonus-Malus and vehicle age, whereas severity gives more weight to driver age, region, and vehicle power.",Only Bonus-Malus appears in every frequency and severity top-five comparison.
How well does Bonus-Malus separate actual risk?,Robust,"Bonus-Malus separates frequency and pure premium after controlling for driver, vehicle, and geography, but adds no held-out severity value.","Per +10 points: frequency relativity 1.252, pure-premium relativity 1.470; severity deviance change -0.13%."
Do ML models materially outperform actuarial GLMs?,Robust,"ML materially improves some predictive metrics, but not calibration, distribution fit, tail protection, or interpretability; no universal winner exists.",Frequency deviance improvement 5.09%; severity MAE improvement 17.24%.
"Is ML improvement present for frequency, severity, or both?",Robust,"Improvements are present for frequency deviance and severity MAE, with paired bootstrap support for both.",Stable frequency improvement: True; stable severity improvement: True.
Does frequency × severity outperform direct Tweedie modeling?,Suggestive,"Component GBM has lower Tweedie deviance, while direct Tweedie has substantially better aggregate calibration and lower MAE than traditional component models.",Component GBM deviance 68.261; Tweedie GLM 70.667.
Which approach produces the best calibrated pure premium?,Robust,The Tweedie GLM is the best aggregate-calibrated held-out pure-premium model.,Tweedie predicted/observed ratio: 0.9933.
Do average-performance winners remain strong in the extreme tail?,Robust,No. Every severity model misses more than 97% of held-out top-1% aggregate loss.,Best top-1% capture was 2.89% from Random Forest.
How concentrated is portfolio risk among high-risk policies?,Suggestive,"Model-ranked high-risk policies concentrate loss, but rankings are noisy because isolated extreme claims dominate observed outcomes.",Direct boosting D10 captured 28.91%; GBM components D10 captured 23.88%.
Can large claims be identified before they occur?,Data-limited,Available policy characteristics provide only weak discrimination for large claims and essentially none for the most extreme claims.,Q95 boosting PR-AUC 0.0628 at event rate 4.92%.
How much aggregate loss uncertainty comes from extreme claims?,Exploratory,"EVT stress scenarios are overwhelmingly tail-driven, but the fitted infinite-variance tail makes capital metrics highly unstable.",Tail share of mean loss 62.75%; tail share of 99% ES 97.39%.
